"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Machine Learning on Camera Images for Fast mmWave Beamforming","B. Salehi; M. Belgiovine; S. G. Sanchez; J. Dy; S. Ioannidis; K. Chowdhury","Northeastern University,Department of Electrical and Computer Engineering,Boston,USA; Northeastern University,Department of Electrical and Computer Engineering,Boston,USA; Northeastern University,Department of Electrical and Computer Engineering,Boston,USA; Northeastern University,Department of Electrical and Computer Engineering,Boston,USA; Northeastern University,Department of Electrical and Computer Engineering,Boston,USA; Northeastern University,Department of Electrical and Computer Engineering,Boston,USA","2020 IEEE 17th International Conference on Mobile Ad Hoc and Sensor Systems (MASS)","23 Feb 2021","2020","","","338","346","Perfect alignment in chosen beam sectors at both transmit- and receive-nodes is required for beamforming in mmWave bands. Current 802.11ad WiFi and emerging 5G cellular standards spend up to several milliseconds exploring different sector combinations to identify the beam pair with the highest SNR. In this paper, we propose a machine learning (ML) approach with two sequential convolutional neural networks (CNN) that uses out-of-band information, in the form of camera images, to (i) rapidly identify the locations of the transmitter and receiver nodes, and then (ii) return the optimal beam pair. We experimentally validate this intriguing concept for indoor settings using the NI 60GHz mmwave transceiver. Our results reveal that our ML approach reduces beamforming related exploration time by 93% under different ambient lighting conditions, with an error of less than 1% compared to the time-intensive deterministic method defined by the current standards.","2155-6814","978-1-7281-9866-8","10.1109/MASS50613.2020.00049","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9356065","Millimeter wave (mmWave);out-of-band beamforming;machine learning;image processing;location inference","Array signal processing;Transmitters;Receivers;Machine learning;Cameras;Transceivers;Standards","5G mobile communication;array signal processing;convolutional neural nets;image processing;learning (artificial intelligence);millimetre wave communication;radio transceivers;wireless LAN","related exploration time;sequential convolutional neural networks;out-of-band information;receiver nodes;millimeterwave transceiver;machine learning;fast mmWave beamforming;fast millimeter beamforming;Wi-Fi;IEEE 802.11ad;5G cellular standards;CNN;transmitter node;ambient lighting conditions;frequency 60.0 GHz","","","","16","","23 Feb 2021","","","IEEE","IEEE Conferences"
"Dynamic gesture recognition with Wi-Fi based on signal processing and machine learning","G. Zhou; T. Jiang; Y. Liu; W. Liu","Key Laboratory of Universal Wireless Communication, Beijing University of Posts and Telecommunications; Key Laboratory of Universal Wireless Communication, Beijing University of Posts and Telecommunications; China Mobile Research Institute Beijing, China; China Mobile Research Institute Beijing, China","2015 IEEE Global Conference on Signal and Information Processing (GlobalSIP)","25 Feb 2016","2015","","","717","721","Wi-Fi signals have been typically acting as information carriers in modern communication system, but recent research has revealed their powerful capability in detecting and identifying various targets. With Wi-Fi, we can now ""see"" people's location, activity, and even hand gestures. In this paper, a new method of dynamic gesture recognition using Wi-Fi based on signal processing and machine learning is proposed. In our work, power profiles of received Wi-Fi signals are acquired for signal processing. The discrete wavelet transform (DWT) is applied to extract features and eliminate noise. And a support vector machine (SVM) improved by dynamic time warping (DTW) algorithm is built to classify and recognize different gestures. The experimental result shows that, by applying the method, nine predefined dynamic gestures can be effectively recognized, with an average recognition rate up to 94.8%, using only a small amount of training samples.","","978-1-4799-7591-4","10.1109/GlobalSIP.2015.7418290","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7418290","Wi-Fi;dynamic gesture recognition;signal processing;machine learning;discrete wavelet transform (DWT);dynamic time warping (DTW);support vector machine (SVM)","Decision support systems;Conferences;Information processing;Discrete wavelet transforms;Support vector machines;Gesture recognition;Signal processing","discrete wavelet transforms;gesture recognition;learning (artificial intelligence);signal processing;support vector machines;ubiquitous computing;wireless LAN","DTW;dynamic time warping algorithm;SVM;support vector machine;DWT;discrete wavelet transform;hand gestures;modern communication system;information carriers;Wi-Fi signals;machine learning;signal processing;dynamic gesture recognition","","6","","10","","25 Feb 2016","","","IEEE","IEEE Conferences"
"Information signs compression and classification using vector quantization and neural network for blind man tourisms navigation system","S. Kantawong; T. Phanprasit","Department of Electronic and Telecommunication Engineering, Bangkok University, Rangsit, Patumthani, Bangkok 12120, Thailand; Department of Electronic and Telecommunication Engineering, Bangkok University, Rangsit, Patumthani, Bangkok 12120, Thailand","2008 5th International Conference on Electrical Engineering/Electronics, Computer, Telecommunications and Information Technology","15 Aug 2008","2008","1","","477","480","This paper presents the information signs compression and classification in vision-based robot guidance system that apply for blind man tourism navigation system which can have two main roles that first for image signs compression and next for signs classification. The algorithm described here take an advantage of image sign features that their colors and shapes are very different from natural environments. The system are divided into three parts, first for image detection and compression that are proposed the image encoding and decoding algorithms called wavelet transform with Fuzzy C-Means (WT+FC) via vector quantization techniques (VQ). The small bit rates for high-speed data transmission with a small space for data storage are required on Wi-Fi Channel. Simultaneously, the peak signal to noise ratio (PSNR) has to be maintained. The shape analysis with a continuous thinning algorithms and image binary data encoding algorithm are used in second part for reduced the sized of data and can be representatives for suitable features data to classify. Finally the back propagation Neural Network (BNN) techniques are used in image recognition and decision process and display the right task. By applying the proposed method, performance has been improved which indicated by lower bit rate and better PSNR. Some results from natural scenes are shown that system performance can work well and is valid to detect other kinds of signs that would train the mobile robot to perform some task at that place.","","978-1-4244-2101-5","10.1109/ECTICON.2008.4600474","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4600474","","Image coding;Classification algorithms;Pixel;Artificial neural networks;Wavelet transforms;Head;Algorithm design and analysis","backpropagation;image coding;image recognition;neural nets;robot vision;vector quantisation;wavelet transforms","information signs compression;information signs classification;vector quantization;neural network;blind man tourisms navigation system;vision-based robot guidance system;image sign features;image detection;image compression;image encoding;decoding algorithms;wavelet transform;back propagation neural network techniques;image recognition","","1","","6","","15 Aug 2008","","","IEEE","IEEE Conferences"
"Development of Sanitary Landfill's Groundwater Contamination Detection Model Based on Machine Learning Algorithms","Z. Mabunga; J. Dela Cruz; G. Magwili; A. Samortin","School of Graduate Studies, College of Engineering, Mapua University, Southern Luzon State University,Manila,Philippines; School of EECE, Mapua University,Manila,Philippines; School of EECE, Mapua University,Manila,Philippines; School of Graduate Studies, Mapua University,Manila,Philippines","2020 IEEE 12th International Conference on Humanoid, Nanotechnology, Information Technology, Communication and Control, Environment, and Management (HNICEM)","16 Apr 2021","2020","","","1","6","This study describes the development of five machine learning models for the detection of groundwater contamination due to leachate leakage in a sanitary landfill. A prototype was constructed using Arduino Uno, Wi-Fi module, pH, electrical conductivity and temperature sensors. This prototype was used to gather data from the groundwater and leachate samples in the sanitary landfill. The sensors that were used in the study was calibrated prior to the actual data gathering in the sanitary landfill. Five machine learning model based on logistic regression, quadratic discriminant analysis, k-nearest neighbour, decision tree and support vector machine algorithm was trained and evaluated. Matlab software was used in this study for the development of each model. The accuracy of each model was then compared which results to a 97.8% accuracy for KNN, 97.7% for SVM and Decision Tree, 93.7% for quadratic discriminant and 92.6% for logistic regression model. Based on the results, KNN, SVM and decision tree based models provide the highest accuracy for the detection of leachate leakage on the groundwater located in a sanitary landfill.","","978-1-6654-1971-0","10.1109/HNICEM51456.2020.9400140","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9400140","Arduino;sensors;machine learning;Matlab;landfill","Support vector machines;Prototypes;Machine learning;Predictive models;Data models;Sensors;Contamination","contamination;decision trees;groundwater;learning (artificial intelligence);regression analysis;support vector machines;temperature sensors","groundwater contamination;leachate leakage;sanitary landfill;electrical conductivity;temperature sensors;actual data gathering;machine learning model;support vector machine algorithm;logistic regression model;decision tree based models;machine learning algorithms","","1","","15","","16 Apr 2021","","","IEEE","IEEE Conferences"
"Research on Indoor Localization Algorithm Based on WIFI Signal Fingerprinting and INS","A. Y. Wang; L. Wang","Xi'an Univ. of Sci. & Technol., Xian, China; Xi'an Univ. of Sci. & Technol., Xian, China","2018 International Conference on Intelligent Transportation, Big Data & Smart City (ICITBS)","9 Apr 2018","2018","","","206","209","Using WIFI fingerprint positioning is Vulnerable to indoor environment and various noise signals , positioning error in indoor environment to the wireless signal strength is in the controllable range, although the starting point can be obtained, but its accuracy is easily affected by complex indoor environment. Inertial positioning is not affected by the indoor environment, but there is a cumulative error. At present, the widespread application of intelligent mobile phone, the activities of various sensors embedded can indirectly describe pedestrians, with intelligent mobile phone to achieve indoor positioning can not only reduce the cost of positioning, which can meet the daily demand for indoor positioning. Indoor positioning method based on inertial navigation real-time location of pedestrian path and wireless signal fingerprint with the online positioning by using the neural network matching algorithm outperforms the KNN algorithm in the positioning accuracy, so it can avoid the cumulative error of inertial navigation and positioning, and also reduce the influence of environment interference factor on the positioning accuracy, finally verified by experiments two, positioning algorithm combined with neural network positioning result is obviously better than the traditional positioning accuracy.","","978-1-5386-4201-6","10.1109/ICITBS.2018.00060","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8332744","WIFI signal;fingerprint;inertial navigation;neural network;accuracy","Conferences;Transportation;Big Data;Smart cities","indoor navigation;inertial navigation;mobile handsets;neural nets;radionavigation;RSSI;telecommunication computing;wireless LAN","Wi-Fi signal fingerprint positioning;environment interference factor;neural network matching algorithm;online positioning;wireless signal fingerprint;inertial navigation real-time location;indoor positioning method;intelligent mobile phone;cumulative error;inertial positioning;complex indoor environment;wireless signal strength;noise signals;indoor localization algorithm","","5","","8","","9 Apr 2018","","","IEEE","IEEE Conferences"
"Automatic Feature Extraction and Selection For Machine Learning Based Intrusion Detection","J. Liu; S. S. Chung","Harvard University, USA; Cleveland State University, USA","2019 IEEE SmartWorld, Ubiquitous Intelligence & Computing, Advanced & Trusted Computing, Scalable Computing & Communications, Cloud & Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)","9 Apr 2020","2019","","","1400","1405","As the advances in mobile technologies and IoT-enabled devices have been integrated into our daily lives, significant increases in wireless network traffic generate a large scale of high dimensional network log data. This has led to challenges in security of Wi-Fi network systems that have to analyze such complex big data for intrusion detection. Many Wi-Fi network systems commonly employee machine learning based Intrusion Detection Systems (IDS). Such IDS usually adopt supervised methods that heavily depend on observations of human experts for feature extraction, feature selection, and labeling processes of training data for classification. In this study, using the recently collected Aegean Wi-Fi Intrusion Dataset (AWID) which contains real traces of different network attacks types, we propose an unsupervised approach with automatic feature extraction and selection process to replace human intervention and manual labeling process for analyzing a large scale high dimensional data to improve the prediction accuracy of classification to detect 3 most common network attack types - Injection, Flooding, and Impersonate attacks in an IDS with a large scale of high dimensional data. The experiment results showed the effectiveness of our approach for feature extraction and selection. The quality of the selected features and the accuracy of intrusion detection of the three attack types are compared and analyzed.","","978-1-7281-4034-6","10.1109/SmartWorld-UIC-ATC-SCALCOM-IOP-SCI.2019.00254","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9060284","network security, feature extraction, feature selection, machine learning, classification, intrusion detection system","Feature extraction;Machine learning;Big Data;Intrusion detection;Wireless networks;Wireless fidelity;Machine learning algorithms","Big Data;computer network security;feature extraction;feature selection;Internet of Things;learning (artificial intelligence);pattern classification;telecommunication traffic;wireless LAN","automatic feature extraction;manual labeling process;large scale high dimensional data;injection attack;IDS;mobile technologies;IoT-enabled devices;wireless network traffic;complex big data;intrusion detection systems;feature selection;training data;Aegean Wi-Fi intrusion dataset;network attack types;Wi-Fi network systems;machine learning;high dimensional network log data;automatic feature selection process;AWID;classification prediction accuracy;flooding attack;impersonate attack","","1","","13","","9 Apr 2020","","","IEEE","IEEE Conferences"
"Deep Content: Unveiling Video Streaming Content from Encrypted WiFi Traffic","Y. Li; Y. Huang; R. Xu; S. Seneviratne; K. Thilakarathna; A. Cheng; D. Webb; G. Jourjon","University Technology of Sydney, Australia; University Technology of Sydney, Australia; University Technology of Sydney, Australia; University of Sydney, Australia; University of Sydney, Australia; Defence Science & Technology Group, Edinburgh, Australia; Defence Science & Technology Group, Edinburgh, Australia; Data61-CSIRO, Sydney, Australia","2018 IEEE 17th International Symposium on Network Computing and Applications (NCA)","29 Nov 2018","2018","","","1","8","The proliferation of smart devices has led to an exponential growth in digital media consumption, especially mobile video for content marketing. The vast majority of the associated Internet traffic is now end-to-end encrypted, and while encryption provides better user privacy and security, it has made network surveillance an impossible task. The result is an unchecked environment for exploiters and attackers to distribute content such as fake, radical and propaganda videos. Recent advances in machine learning techniques have shown great promise in characterising encrypted traffic captured at the end points. However, video fingerprinting from passively listening to encrypted traffic, especially wireless traffic, has been reported as a challenging task due to the difficulty in distinguishing retransmissions and multiple flows on the same link. We show the potential of fingerprinting videos by passively sniffing WiFi frames in air, even without connecting to the WiFi network. We have developed Multi-Layer Perceptron (MLP) and Recurrent Neural Networks (RNNs) that are able to identify streamed YouTube videos from a closed set, by sniffing WiFi traffic encrypted at both Media Access Control (MAC) and Network layers. We compare these models to the state-of-the-art wired traffic classifier based on Convolutional Neural Networks (CNNs), and show that our models obtain similar results while requiring significantly less computational power and time (approximately a threefold reduction).","","978-1-5386-7659-2","10.1109/NCA.2018.8548317","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8548317","","Streaming media;Wireless fidelity;Internet;Protocols;Encryption","cryptography;data privacy;learning (artificial intelligence);multilayer perceptrons;neural nets;pattern classification;recurrent neural nets;social networking (online);telecommunication security;telecommunication traffic;video signal processing;video streaming;wireless LAN","deep content;encrypted WiFi traffic;smart devices;digital media consumption;mobile video;content marketing;associated Internet traffic;encryption;user privacy;network surveillance;machine learning techniques;encrypted traffic;end points;video fingerprinting;wireless traffic;WiFi frames;WiFi network;Recurrent Neural Networks;streamed YouTube videos;Convolutional Neural Networks;wired traffic classifier;media access control;multilayer perceptron;video streaming content;network layers","","12","","20","","29 Nov 2018","","","IEEE","IEEE Conferences"
"Towards the Implementation of Recurrent Neural Network Schemes for WiFi Fingerprint-Based Indoor Positioning","H. Hsieh; S. W. Prakosa; J. Leu","National Taiwan University of Science and Technology, Department of Electronic and Computer Engineering, Taipei, Taiwan; National Taiwan University of Science and Technology, Department of Electronic and Computer Engineering, Taipei, Taiwan; National Taiwan University of Science and Technology, Department of Electronic and Computer Engineering, Taipei, Taiwan","2018 IEEE 88th Vehicular Technology Conference (VTC-Fall)","14 Apr 2019","2018","","","1","5","The rapid development of Indoor Positioning System has attracted researcher to develop a robust scheme to predict the location based on Received Signal Strength Indicator (RSSI) signal. A lot of research topics presented in many journals and conferences by many researchers concern indoor positioning system as a main topic [1], [2]. Currently, the study related to find the robust algorithm for indoor positioning system becomes a high demand topic in several conferences. Our work intents to evaluate the effectiveness of Recurrent Neural Network (RNN) as a deep learning technique to be implemented in this field. In addition, LSTM as a variant of RNN scheme is also implemented. The purpose of this implementation is to explore both LSTM and original RNN to be utilized for localization in indoor positioning scheme, especially for Wifi Fingerprinting Dataset. From all evaluations, our proposed approach could get 99.7% accuracy for predicting which floor the sensor belongs to. In addition, the distance errors of our scheme are around 2.5-2.7 meters.","2577-2465","978-1-5386-6358-5","10.1109/VTCFall.2018.8690989","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8690989","Indoor Positioning System;Received Signal Strength Indicator (RSSI);Recurrent Neural Network (RNN);Long Short Term Memory (LSTM)","Recurrent neural networks;Training;Testing;Wireless fidelity;Predictive models;Logic gates;Deep learning","indoor navigation;indoor radio;learning (artificial intelligence);location based services;recurrent neural nets;RSSI;wireless LAN","Recurrent Neural Network schemes;WiFi fingerprint-based Indoor Positioning;Received Signal Strength Indicator signal;RNN scheme;indoor positioning scheme;Wifi Fingerprinting Dataset;deep learning technique","","14","","12","","14 Apr 2019","","","IEEE","IEEE Conferences"
"Wifi fingerprinting localization for intelligent vehicles in car park","D. Nguyen; R. D. Charette; F. Nashashibi; T. Dao; E. Castelli","RITS Team, INRIA Paris, Paris, France; RITS Team, INRIA Paris, Paris, France; RITS Team, INRIA Paris, Paris, France; MICA Institute (HUST - Grenoble INP), Hanoi University of Science and Technology, Hanoi, Vietnam; MICA Institute (HUST - Grenoble INP), Hanoi University of Science and Technology, Hanoi, Vietnam","2018 International Conference on Indoor Positioning and Indoor Navigation (IPIN)","27 Jan 2019","2018","","","1","6","In this paper, a novel method of WiFi fingerprinting for localizing intelligent vehicles in GPS-denied area, such as car parks, is proposed. Although the method itself is a popular approach for indoor localization application, adapting it to the speed of vehicles requires different treatment. By deploying an ensemble neural network for fingerprinting classification, the method shows a reasonable localization precision at car park speed. Furthermore, a Gaussian Mixture Model (GMM) Particle Filter is applied to increase localization frequency as well as accuracy. Experiments show promising results with average localization error of 0.6m.","2471-917X","978-1-5386-5635-8","10.1109/IPIN.2018.8626578","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8626578","component;Intelligent Vehicles;Indoor localization;WiFi Fingerprinting;Ensemble Neural Network;Particle Filter;Sensor Fusion;component;Intelligent Vehicles;Indoor localization;WiFi Fingerprinting;Ensemble Neural Network;Particle Filter;Sensor Fusion","Fingerprint recognition;Wireless fidelity;Automobiles;Global Positioning System;Intelligent vehicles;Neural networks;Particle filters","fingerprint identification;Gaussian processes;neural nets;particle filtering (numerical methods);wireless LAN","wifi fingerprinting localization;GPS-denied area;indoor localization application;ensemble neural network;car park speed;Gaussian Mixture Model Particle Filter;size 0.6 m","","","","","","27 Jan 2019","","","IEEE","IEEE Conferences"
"RF and Network Signature-based Machine Learning on Detection of Wireless Controlled Drone","Y. J. J. Teoh; C. K. Seow","University of Glasgow,United Kingdom; University of Glasgow,United Kingdom","2019 PhotonIcs & Electromagnetics Research Symposium - Spring (PIERS-Spring)","2 Mar 2020","2019","","","408","417","Over the years, drone usage have become an increasing part of the ever-connected society that we are currently living in. Its usages have proliferated beyond the military sector to various commercial and consumer activities such as package delivery, disaster relief, agriculture and filming. With the rise of Wi-Fi controlled drone. Wi-Fi controlled drone has increased its popularity for personal use due to its affordability, and the ease of operating the drone through smart-devices like mobile phone, tablets and computers. As such, this increases the likelihood of drone presence in various environments, especially in critical government infrastructure, leading to various privacy and security concern by the authorities and the public with malicious intent. Therefore, various signature-based methodology of drone detection has emerged such as the visual and Radio Frequency (RF) signature-based detection method. Visual signature-based detection relies on camera capture and image processing but this is an expensive approach. Whereas, RF signature- based detection relies on the identification of the emission of RF signal by the drone. However, since most commercial electronics devices were built based on Wi-Fi technology, the differentiation of the RF signals transmitted between a drone or a standard Wi-Fi device in a crowded Wi-Fi environment such as a school campus or city area is an challenging task. In this paper, we propose a novel machine learning approach that leverages on the identified unique signatures of Wi-Fi devices in terms of Radio Frequency (RF) and network packets measurement to differentiate the presence of Wi-Fi drone and standard Wi-Fi devices in an urban setting. Furthermore, we also carried out a meticulous pre-processing procedure and a better training scheme of using Stratified K-Fold Cross-Validation (SKFCV), to enhance the richness in the data signature and fully exploit the permutation of the data during training respectively for better performance of the ML models. Two supervised classification Machine Learning (ML) models, namely the Logistic Regression (LR), and Artificial Neural Network (ANN) were applied using the joint data measurements to identify the presence of drone in dense Wi-Fi environment. The experimental results have shown that the proposed novel ML approach of using both RF and network measurement signatures coupled with the pre-processing and training methodology on LR and ANN ML models have outperformed the traditional RF signature-based drone detection ML accuracy results by 15.1% and 21.63% respectively in a crowded Wi-Fi environment.","1559-9450","978-1-7281-3403-1","10.1109/PIERS-Spring46901.2019.9017231","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9017231","","Drones;Wireless fidelity;Radio frequency;Springs;Standards;Training;Software","aerospace computing;data privacy;learning (artificial intelligence);neural nets;pattern classification;regression analysis;remotely operated vehicles;telecommunication security;wireless LAN","stratified k-fold cross-validation;artificial neural network;logistic regression;wireless controlled drone detection;network signature-based machine learning;Wi-Fi technology;commercial electronics devices;RF signal;visual signature-based detection;signature-based methodology;Wi-Fi controlled drone;drone usage;traditional RF signature-based drone detection ML accuracy results;network measurement signatures;dense Wi-Fi environment;data signature;Wi-Fi drone;network packets measurement;Wi-Fi devices;crowded Wi-Fi environment;standard Wi-Fi device","","3","","14","","2 Mar 2020","","","IEEE","IEEE Conferences"
"An Automated System to Monitor the Usage of Water in Apartments Using IOT and Artificial Neural Network","S. Aggarwal; S. Chauhan; R. J. Prakash","Computer Science & Engineering, HMRITM, GGSIPU,Delhi,India; HMRITM, GGSIPU,Electronics & Communication Engineering,Delhi,India; HMRITM, GGSIPU,Department of Electronics & Communication Engineering,Delhi,India","2019 2nd International Conference on Intelligent Computing, Instrumentation and Control Technologies (ICICICT)","13 Feb 2020","2019","1","","821","825","In the today's society we are growing towards a world where we are using different techniques to automate different daily life tasks to reduce human efforts also the automation of different daily life tasks always offers a lot of advantages like high efficiency and accuracy to do those tasks. Today we are not only focused on the creation of automated systems but also on creation of smart systems like smart homes, smart cities etc. This includes a lot of tasks to be done with the help of Internet of Things, Machine Learning, Artificial Intelligence etc. All these technologies are widely used in order to create a system which can be used to complete a task automatically with the need of any human effort. In such a technology driven society there is always a need to create a system which can be used to monitor the usage of water in different apartments of a building. The main problem here is that there is no way to know how much of water is used in different apartments of a building and the cost of installation of separate water meters is too high also it will need a lot of construction work to install it. Currently there is no system to which is efficient enough to complete this such type of task as it need human efforts at many stages. In this there is a need of creation a system which can be installed easily with very less or no construction also it should be able to collect data and then it should continuously stream whole data to server for processing and generate result in real time also, the overall cost should be low enough that it can be used commercially. In this paper we are focusing on creating a low-cost smart device which can be used to collect the data of water consumption. To achieve this, we have proposed to create a device with Arduino along with some sensors and modules to collect multiple data of water consumption from different apartments. After collecting this data this device will send this data to server with the help of a Wi-Fi module attached to the device. At the same time, we are using an Artificial Neural Network model for the analysis of this data for generating high accuracy results. Finally, these results will be shown on an Android App and Web App for better availability and better usability of the whole system which will allow the user to access it anywhere any time.","","978-1-7281-0283-2","10.1109/ICICICT46008.2019.8993391","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8993391","Internet of things;Artificial Neural Network;Sensors;WEB App;Android App;Machine Learning","Costs;Artificial neural networks;Smart homes;Servers;Internet of Things;Task analysis;Usability","computerised monitoring;home automation;Internet;mobile computing;neural nets;water meters;water supply;wireless LAN","apartments;water consumption;artificial neural network model;smart systems;water usage monitoring;Wi-Fi module;Android app;Web app;IoT;Internet of Things","","1","","7","","13 Feb 2020","","","IEEE","IEEE Conferences"
"An Experimental Analysis for Detecting Wi-Fi Network Associations Using Multi-label Learning","G. H. Apostolo; F. Bernardini; L. C. Schara Magalhães; D. C. Muchaluat-Saade","Mídiacom Lab, Universidade Federal Fluminense,Niterói,Brazil; Institute of Computing, Universidade Federal Fluminense,Niterói,Brazil; Universidade Federal Fluminense,Telecommunications Engineering Departament,Niterói,Brazil; Mídiacom Lab, Universidade Federal Fluminense,Niterói,Brazil","2020 International Conference on Systems, Signals and Image Processing (IWSSIP)","21 Jul 2020","2020","","","423","428","Buildings play an important role in our lives, although they require great amounts of energy and resources to operate. The creation of cheaper and more efficient smart building management systems to control building infrastructure as lighting and HVAC (Heating, Ventilating and Air Conditioning) is required. Those systems should correctly identify users inside building areas for only providing the necessary resources. Different sensor networks can be used to correctly detect people inside buildings areas. Wi-Fi networks have attracted a lot of attention due to its large deployment. In this work, we evaluate the performance of Multi-label machine learning methods to build classification models capable of providing wireless network access points (AP) occupancy predictions throughout the day. The APs association history used in our experiment was built using data from SCIFI network of Fluminense Federal University for a period of 6 months. Our results show that the best overall achieved accuracy was 87.04% for predicting access point occupancy.","2157-8702","978-1-7281-7539-3","10.1109/IWSSIP48289.2020.9145183","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9145183","Large scale Wi-Fi Networks;Machine Learning;Multi-label learning;Energy Saving;Smart Buildings;Ambient Intelligence;Access Point occupancy prediction","Wireless fidelity;Machine learning;History;Smart buildings;Prediction algorithms;Machine learning algorithms","building management systems;HVAC;learning (artificial intelligence);power engineering computing;wireless LAN","Wi-Fi Network Associations;Multilabel learning;smart building management systems;Wi-Fi networks;wireless network access points occupancy predictions;SCIFI network;HVAC;lighting;multi-label machine learning","","","","14","","21 Jul 2020","","","IEEE","IEEE Conferences"
"Augmented Wi-Fi: An AI-based Wi-Fi Management Framework for Wi-Fi/LTE Coexistence","P. Soto; M. Camelo; J. Fontaine; M. Girmay; A. Shahid; V. Maglogiannis; E. De Poorter; I. Moerman; J. F. Botero; S. Latré","University of Antwerp,imec, IDLab,Department of Mathematics and Computer Science,Antwerp,Belgium; University of Antwerp,imec, IDLab,Department of Mathematics and Computer Science,Antwerp,Belgium; Ghent University,imec, IDLab,Department of Information Technology,Ghent,Belgium; Ghent University,imec, IDLab,Department of Information Technology,Ghent,Belgium; Ghent University,imec, IDLab,Department of Information Technology,Ghent,Belgium; Ghent University,imec, IDLab,Department of Information Technology,Ghent,Belgium; Ghent University,imec, IDLab,Department of Information Technology,Ghent,Belgium; Ghent University,imec, IDLab,Department of Information Technology,Ghent,Belgium; Universidad de Antioquia,Department of Telecommunications Engineering,Medellín,Colombia; University of Antwerp,imec, IDLab,Department of Mathematics and Computer Science,Antwerp,Belgium","2020 16th International Conference on Network and Service Management (CNSM)","30 Nov 2020","2020","","","1","9","Recently, the operation of LTE in unlicensed bands has been proposed to cope with the ever-increasing mobile traffic demand. However, the deployment of LTE in such bands implies sharing spectrum with mature technologies such as Wi-Fi. Several studies have discussed this coexistence problem by suggesting that LTE implements different adaptation mechanisms that allow transmission possibilities to Wi-Fi. While such adaptation mechanisms exist, they still negatively impact Wi-Fi performance, mainly due to the lack of collaboration/coordination mechanisms that inform about the co-located networks' activities. In this paper, we propose a distributed spectrum management framework that enhances the performance of Wi-Fi, as a particular case, by detecting harmful co-located wireless networks and changes the Wi-Fi's operating central frequency to avoid them. The framework is based on a Convolutional Neural Network (CNN) that can identify different wireless technologies and provides spectrum usage statistics. Experiments were carried out in a real-life testbed, and the results show that Wi-Fi maintains its performance when using our framework. This translates in an increase of at least 40% on the overall throughput compared to a non-managed operation of Wi-Fi.","2165-963X","978-3-903176-31-7","10.23919/CNSM50824.2020.9269064","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9269064","Spectrum sharing;Machine learning;Cognitive radios;Coexistence;Experimental demonstration","Wireless fidelity;Long Term Evolution;Wireless communication;Hardware;Radio spectrum management;Engines;Standards","computer network management;convolutional neural nets;Long Term Evolution;radio spectrum management;telecommunication computing;telecommunication traffic;wireless LAN","Wi-Fi performance;distributed spectrum management framework;Wi-Fi operating central frequency;AI-based Wi-Fi management framework;Wi-Fi/LTE coexistence;mobile traffic demand;spectrum sharing;harmful colocated wireless network detection;convolutional neural network;CNN","","","","23","","30 Nov 2020","","","IEEE","IEEE Conferences"
